Sta_ID	Sta_longi	Sta_lati	Repi(km)	Repi_long_Intensity(km)	Repi_short_Intensity(km)	Repi_long_PGA(km)	Repi_short_PGA(km)	Repi_long_PGV(km)	Repi_short_PGV(km)	PGA(gal)	PGV(cm/s)	Intensity	Intensity_roman	Intensity_GB17742	Intensity_roman_GB17742
S1	103.5564	22.25	309.81	325.58	308.98	322.91	309.56	329.27	308.57	5.03	0.54	4.64	V	2.7	III
S2	104.7183	24.7331	176.11	178.1	143.17	177.22	149.88	177.29	145.95	17.29	1.73	5.7	VI	4.3	IV
S3	99.6044	24.9011	343.58	344.11	331.87	343.64	334.14	342.43	323.76	4.4	0.5	4.54	V	2.6	III
S4	104.706	26.9948	279.25	294.54	271.58	290.95	272.51	294.75	269.46	6.28	0.67	4.82	V	3.0	III
S5	103.3802	25.0351	38.58	38.75	22.84	38.74	26.68	38.77	25.76	196.1	15.87	7.95	VIII	7.4	VII
S6	103.446	28.4995	390.27	390.53	390.53	390.15	390.15	398.56	390.33	3.34	0.37	4.31	IV	2.2	II
S7	105.0421	27.0405	304.69	314.91	295.99	313.18	298.18	317.46	295.06	5.37	0.58	4.7	V	2.8	III
S8	101.6976	22.4262	314.64	327.39	311.2	325.33	312.41	332.43	312.19	4.95	0.53	4.63	V	2.7	III
S9	103.3679	25.3305	52.12	67.36	43.53	62.6	45.15	63.77	44.69	104.32	8.71	7.23	VII	6.6	VII
S10	101.2152	24.9005	180.7	181.26	146.38	180.76	153.46	180.82	149.42	16.63	1.67	5.67	VI	4.3	IV
S11	102.5187	23.7299	148.95	181.26	146.38	173.76	146.4	177.29	145.95	17.97	1.73	5.67	VI	4.4	IV
S12	99.8657	23.2953	370.78	371.71	366.72	371.8	368.16	374.0	360.86	3.71	0.42	4.4	IV	2.3	II
S13	103.77	27.2218	257.9	281.64	256.4	276.55	256.15	281.93	255.24	6.99	0.73	4.9	V	3.1	III
S14	104.1073	22.207	329.28	340.33	327.17	338.69	328.23	345.96	327.87	4.54	0.49	4.56	V	2.6	III
S15	102.649	23.4266	177.92	210.81	177.17	203.57	176.88	208.4	177.08	13.13	1.29	5.41	V	3.9	IV
S16	102.9507	24.1737	91.67	124.11	91.27	116.57	91.58	119.41	91.61	37.94	3.41	6.3	VI	5.3	V
S17	104.4906	26.4848	222.28	240.47	209.45	236.49	211.86	240.23	210.18	9.68	0.99	5.18	V	3.6	IV
S18	103.1843	25.17	26.46	36.81	21.54	33.13	22.57	33.97	22.31	233.73	18.19	8.01	VIII	7.5	VIII
S19	105.9383	23.6955	331.22	334.73	320.23	333.61	322.19	335.67	315.93	4.69	0.52	4.59	V	2.6	III
S20	100.9512	26.3272	253.03	264.76	236.86	261.65	239.47	263.65	235.26	7.85	0.83	5.01	V	3.3	III
S21	101.9882	27.5818	303.48	320.21	302.42	316.51	302.06	323.21	301.62	5.25	0.56	4.67	V	2.8	III
S22	101.5911	25.0665	142.46	142.86	108.66	142.64	115.94	142.7	112.86	26.22	2.53	6.07	VI	4.9	V
S23	101.0892	21.9719	388.31	388.39	388.21	388.56	388.56	393.28	383.94	3.37	0.38	4.32	IV	2.2	II
S24	106.3944	24.1188	357.36	357.66	348.87	357.89	351.27	357.22	341.03	4.03	0.46	4.47	IV	2.5	III
S25	102.2353	27.7257	311.58	327.39	311.2	324.11	310.98	332.43	312.19	4.99	0.53	4.63	V	2.7	III
S26	103.6972	24.6845	78.66	87.33	59.41	84.78	63.52	85.53	62.32	65.34	5.75	6.85	VII	6.0	VI
S27	104.8321	25.2764	187.22	188.83	154.13	188.06	160.88	188.45	156.98	15.38	1.55	5.6	VI	4.2	IV
S28	102.8289	24.9409	18.48	20.85	11.4	19.77	13.15	20.0	12.66	377.22	28.62	8.59	IX	8.1	VIII
S29	102.5955	24.5728	62.56	81.14	54.37	75.72	55.89	77.2	55.45	78.25	6.68	6.96	VII	6.2	VI
S30	105.1339	26.5383	273.54	283.23	258.25	281.57	261.83	283.96	257.48	6.73	0.72	4.89	V	3.1	III
S31	104.8761	27.0915	298.16	309.7	289.69	307.86	291.98	311.99	288.84	5.57	0.6	4.73	V	2.9	III
S32	99.5811	26.6107	387.04	386.27	385.46	386.99	386.8	388.19	377.82	3.4	0.39	4.33	IV	2.2	II
S33	104.2703	24.7625	131.0	133.61	100.0	132.6	106.43	132.75	103.68	30.03	2.86	6.18	VI	5.0	V
S34	101.8065	24.2172	148.81	163.0	128.1	159.34	132.12	161.11	130.26	21.25	2.05	5.85	VI	4.6	V
S35	104.705	24.3182	188.35	195.54	161.08	193.79	166.75	194.77	163.29	14.49	1.46	5.54	VI	4.1	IV
S36	103.2632	24.3517	76.6	105.42	74.69	97.81	74.79	100.14	74.7	51.51	4.52	6.56	VII	5.7	VI
S37	102.4858	25.0892	52.84	54.55	33.93	53.9	38.25	54.06	37.15	128.88	10.79	7.52	VIII	6.9	VII
S38	103.4302	23.3232	190.81	222.0	189.19	215.9	189.83	220.72	189.75	11.66	1.16	5.32	V	3.8	IV
S39	103.9003	25.1018	91.54	92.05	63.32	91.96	69.69	92.02	67.77	57.15	5.15	6.77	VII	5.9	VI
S40	105.0579	26.5475	268.26	280.07	254.56	276.92	256.58	279.94	253.05	6.97	0.74	4.91	V	3.2	III
S41	103.8444	23.618	175.42	203.64	169.56	197.16	170.22	200.88	169.44	14.0	1.38	5.47	V	4.0	IV
S42	103.9797	22.1295	333.24	344.11	331.87	342.21	332.42	349.6	332.11	4.44	0.48	4.54	V	2.6	III
